,frame, x, y
394,476,670,272
395,477,677,275
396,478,689,288
397,479,705,298
398,480,708,304
399,481,717,307
400,482,730,322
401,483,741,325
402,484,758,332
403,485,764,345
404,486,771,350
405,487,787,359
406,488,792,360
407,489,802,367
408,490,816,380
409,491,829,388
410,492,840,393
411,493,850,393
412,495,869,407
413,496,880,415
414,497,893,422
415,498,905,425
416,499,912,427
417,500,924,442
418,501,930,436
419,502,943,439
420,503,958,451
421,504,968,446
422,505,982,445
423,506,987,448
424,507,995,449
425,508,1007,447
426,509,1008,433
427,510,1022,438
428,511,1028,443
429,512,1043,433
430,513,1046,428
431,514,1052,423
432,515,1056,419
433,516,1063,413
434,517,1067,405
435,518,1073,405
436,519,1077,393
437,520,1081,395
438,521,1094,386
439,522,1088,383
440,523,1093,376
441,524,1096,367
442,525,1099,366
443,526,1099,362
444,527,1107,358
445,528,1109,354
446,529,1112,347
447,530,1113,340
448,531,1116,340
449,532,1120,345
450,533,1121,339
451,534,1123,332
452,535,1122,330
453,536,1123,327
454,537,1123,321
455,538,1125,309
456,539,1127,314
457,540,1127,309
458,541,1125,313
459,542,1121,314
460,543,1116,316
461,544,1115,317
462,545,1110,317
463,546,1113,317
464,547,1107,319
465,548,1107,318
466,549,1105,318
467,550,1098,323
468,551,1096,324
469,552,1093,323
470,553,1094,326
471,554,1093,321
472,555,1091,329
473,556,1084,329
474,557,1079,330
475,558,1075,330
476,559,1068,334
477,560,1054,327
478,561,1054,326
479,562,1050,329
480,563,1044,326
481,564,1040,320
482,565,1038,319
483,566,1031,314
484,567,1030,314
485,568,1034,313
486,569,1034,313
487,570,1035,315
488,571,1035,315
489,572,1034,321
490,573,1034,321
491,574,1034,323
492,575,1034,324
493,576,1032,323
494,577,1033,324
495,578,1035,330
496,579,1035,330
497,580,1036,332
498,581,1037,333
499,582,1030,326
500,583,1036,331
501,584,1036,331
502,585,1036,331
503,586,1036,331
504,587,1036,331
505,588,1036,331
506,589,1041,327
507,590,1036,328
508,591,1036,329
509,592,1036,329
510,593,1036,328
511,594,1036,329
512,595,1036,329
513,596,1036,329
514,597,1036,329
515,598,1036,329
516,599,1036,330
517,600,1036,330
518,601,1036,331
519,602,1036,332
